Account:;Paloma Marsh;;;;;;;;;;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1120;Data Structures;13.77;;;2.08;2.65;5.7;;1.94;1.4;;;;;;;;;;
Subtotal, h;;13.77;;;2.08;2.65;5.7;;1.94;1.4;;;;;;;;;;
1320;JavaScript;7.88;;;;1.66;;3.37;2.85;;;;;;;;;;;
Subtotal, h;;7.88;;;;1.66;;3.37;2.85;;;;;;;;;;;
-;Class;7.44;;;;1.54;4.52;1.38;;;;;;;;;;;;
;SPD 1.3 Group;7.05;;0.56;;0.77;1.01;4.71;;;;;;;;;;;;
;Break;5.56;;0.59;;0.3;2.4;0.73;1.54;;;;;;;;;;;
;Auth;2.09;;;;;0.62;;;1.47;;;;;;;;;;
;Research;2.04;;1.77;0.26;;0.01;;;;;;;;;;;;;
;email/admin;1.65;;;;;;0.51;1.14;;;;;;;;;;;
;Off;0.23;;0.23;;;;;;;;;;;;;;;;
Subtotal, h;;26.06;;3.15;0.26;2.61;8.56;7.33;2.68;1.47;;;;;;;;;;
Day total, h;;;;3.15;2.34;6.92;14.26;10.7;7.47;2.87;;;;;;;;;;
Hours total;;;;;;;;;;47.71;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #4;;;;22.01.2023;23.01.2023;24.01.2023;25.01.2023;26.01.2023;27.01.2023;28.01.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1120;Data Structures;8.55;;;;1.53;3.45;;2.38;1.19;;;;;;;;;;
Subtotal, h;;8.55;;;;1.53;3.45;;2.38;1.19;;;;;;;;;;
1320;JavaScript;6.42;;;;1.42;0.04;4.96;;;;;;;;;;;;
Subtotal, h;;6.42;;;;1.42;0.04;4.96;;;;;;;;;;;;
-;Class;6.12;;;2.12;;4.0;;;;;;;;;;;;;
;SPD 1.3 Group;4.61;;;;0.33;;2.0;2.28;;;;;;;;;;;
;Auth;3.67;;0.92;2.75;;;;;;;;;;;;;;;
;Off;3.17;;;;;3.06;0.11;;;;;;;;;;;;
;Break;1.95;;;;0.55;1.16;0.24;;;;;;;;;;;;
;Research;0.72;;;;0.46;;;0.26;;;;;;;;;;;
;email/admin;0.13;;;;;;0.13;;;;;;;;;;;;
;Intensive work;0.0;;;;;;;;;;;;;;;;;;
Subtotal, h;;20.37;;0.92;4.87;1.34;8.22;2.48;2.54;;;;;;;;;;;
Day total, h;;;;0.92;4.87;4.29;11.71;7.44;4.92;1.19;;;;;;;;;;
Hours total;;;;;;;;;;35.34;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #5;;;;29.01.2023;30.01.2023;31.01.2023;01.02.2023;02.02.2023;03.02.2023;04.02.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1120;Data Structures;12.62;;0.27;2.0;2.0;1.21;;5.47;1.67;;;;;;;;;;
Subtotal, h;;12.62;;0.27;2.0;2.0;1.21;;5.47;1.67;;;;;;;;;;
1320;JavaScript;8.39;;;;3.0;;5.39;;;;;;;;;;;;
Subtotal, h;;8.39;;;;3.0;;5.39;;;;;;;;;;;;
-;SPD 1.3 Group;11.46;;2.67;3.48;1.0;2.5;;1.81;;;;;;;;;;;
;Class;7.82;;;2.41;;4.36;1.05;;;;;;;;;;;;
;Auth;6.94;;6.43;;;0.51;;;;;;;;;;;;;
;Break;6.22;;0.44;0.64;;0.96;0.17;3.88;0.13;;;;;;;;;;
;Off;5.72;;1.88;1.03;;;;;2.81;;;;;;;;;;
;email/admin;0.05;;;;;;;0.05;;;;;;;;;;;
;Intensive work;0.0;;;;;;;;;;;;;;;;;;
Subtotal, h;;38.21;;11.42;7.56;1.0;8.33;1.22;5.74;2.94;;;;;;;;;;
Day total, h;;;;11.69;9.56;6.0;9.54;6.61;11.21;4.61;;;;;;;;;;
Hours total;;;;;;;;;;59.22;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #6;;;;05.02.2023;06.02.2023;07.02.2023;08.02.2023;09.02.2023;10.02.2023;11.02.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1320;JavaScript;4.05;;;;1.33;;2.72;;;;;;;;;;;;
Subtotal, h;;4.05;;;;1.33;;2.72;;;;;;;;;;;;
1120;Data Structures;2.01;;;1.69;;0.3;;;0.02;;;;;;;;;;
Subtotal, h;;2.01;;;1.69;;0.3;;;0.02;;;;;;;;;;
-;Auth;10.71;;2.75;0.67;1.13;1.21;;;4.95;;;;;;;;;;
;Class;10.56;;;2.26;;7.77;0.53;;;;;;;;;;;;
;Off;7.35;;0.01;0.54;0.22;;;;6.58;;;;;;;;;;
;Break;2.19;;0.45;0.19;0.83;0.54;0.01;;0.17;;;;;;;;;;
;SPD 1.3 Group;0.0;;;;;;;;;;;;;;;;;;
Subtotal, h;;30.81;;3.21;3.66;2.18;9.52;0.54;;11.7;;;;;;;;;;
Day total, h;;;;3.21;5.35;3.51;9.82;3.26;;11.72;;;;;;;;;;
Hours total;;;;;;;;;;36.87;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #7;;;;12.02.2023;13.02.2023;14.02.2023;15.02.2023;16.02.2023;17.02.2023;18.02.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1320;JavaScript;10.32;;;;3.06;;3.28;1.74;2.24;;;;;;;;;;
Subtotal, h;;10.32;;;;3.06;;3.28;1.74;2.24;;;;;;;;;;
1120;Data Structures;6.05;;;0.87;1.49;2.19;1.5;;;;;;;;;;;;
Subtotal, h;;6.05;;;0.87;1.49;2.19;1.5;;;;;;;;;;;;
-;Class;11.26;;;7.27;;3.99;;;;;;;;;;;;;
;Auth;10.31;;3.46;0.54;;;1.25;3.06;2.0;;;;;;;;;;
;Off;4.52;;;;;0.01;1.51;;3.0;;;;;;;;;;
;email/admin;2.8;;;;;;0.76;2.04;;;;;;;;;;;
;SPD 1.3 Group;1.01;;;;;;1.01;;;;;;;;;;;;
;Break;0.84;;0.07;0.46;;;0.31;;;;;;;;;;;;
;Intensive work;0.0;;;;;;;;;;;;;;;;;;
Subtotal, h;;30.74;;3.53;8.27;;4.0;4.84;5.1;5.0;;;;;;;;;;
Day total, h;;;;3.53;9.14;4.55;6.19;9.62;6.84;7.24;;;;;;;;;;
Hours total;;;;;;;;;;47.11;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #8;;;;19.02.2023;20.02.2023;21.02.2023;22.02.2023;23.02.2023;24.02.2023;25.02.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1320;JavaScript;6.4;;1.16;1.94;3.3;;;;;;;;;;;;;;
Subtotal, h;;6.4;;1.16;1.94;3.3;;;;;;;;;;;;;;
1120;Data Structures;1.55;;;1.55;;;;;;;;;;;;;;;
Subtotal, h;;1.55;;;1.55;;;;;;;;;;;;;;;
-;Class;10.44;;;;1.61;8.83;;;;;;;;;;;;;
;SPD 1.3 Group;4.46;;;1.09;0.27;;0.82;2.28;;;;;;;;;;;
;Off;2.73;;;;2.1;0.63;;;;;;;;;;;;;
;email/admin;0.26;;;;0.26;;;;;;;;;;;;;;
Subtotal, h;;17.89;;;1.09;4.24;9.46;0.82;2.28;;;;;;;;;;;
Day total, h;;;;1.16;4.58;7.54;9.46;0.82;2.28;;;;;;;;;;;
Hours total;;;;;;;;;;25.84;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #9;;;;26.02.2023;27.02.2023;28.02.2023;01.03.2023;02.03.2023;03.03.2023;04.03.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1120;Data Structures;4.65;;;;1.65;2.0;;;1.0;;;;;;;;;;
Subtotal, h;;4.65;;;;1.65;2.0;;;1.0;;;;;;;;;;
1320;JavaScript;0.0;;;;;;;;;;;;;;;;;;
Subtotal, h;;0.0;;;;;;;;;;;;;;;;;;
-;Auth;4.5;;2.22;2.28;;;;;;;;;;;;;;;
;SPD 1.3 Group;4.14;;4.14;;;;;;;;;;;;;;;;
;Class;2.05;;;1.03;1.02;;;;;;;;;;;;;;
Subtotal, h;;10.69;;6.36;3.31;1.02;;;;;;;;;;;;;;
Day total, h;;;;6.36;3.31;2.67;2.0;;;1.0;;;;;;;;;;
Hours total;;;;;;;;;;15.34;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #10;;;;05.03.2023;06.03.2023;07.03.2023;08.03.2023;09.03.2023;10.03.2023;11.03.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1120;Data Structures;2.5;;2.5;;;;;;;;;;;;;;;;
Subtotal, h;;2.5;;2.5;;;;;;;;;;;;;;;;
-;Auth;2.62;;1.45;1.17;;;;;;;;;;;;;;;
Subtotal, h;;2.62;;1.45;1.17;;;;;;;;;;;;;;;
Day total, h;;;;3.95;1.17;;;;;;;;;;;;;;;
Hours total;;;;;;;;;;5.12;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #11;;;;12.03.2023;13.03.2023;14.03.2023;15.03.2023;16.03.2023;17.03.2023;18.03.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
-;Intensive work;14.32;;;4.41;5.34;;2.0;2.57;;;;;;;;;;;
;email/admin;2.78;;;;;;2.78;;;;;;;;;;;;
;Break;1.52;;;0.81;0.71;;;;;;;;;;;;;;
Subtotal, h;;18.62;;;5.22;6.05;;4.78;2.57;;;;;;;;;;;
Day total, h;;;;;5.22;6.05;;4.78;2.57;;;;;;;;;;;
Hours total;;;;;;;;;;18.62;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #12;;;;19.03.2023;20.03.2023;21.03.2023;22.03.2023;23.03.2023;24.03.2023;25.03.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
-;Intensive work;10.23;;1.94;1.29;;2.0;5.0;;;;;;;;;;;;
Subtotal, h;;10.23;;1.94;1.29;;2.0;5.0;;;;;;;;;;;;
Day total, h;;;;1.94;1.29;;2.0;5.0;;;;;;;;;;;;
Hours total;;;;;;;;;;10.23;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #13;;;;26.03.2023;27.03.2023;28.03.2023;29.03.2023;30.03.2023;31.03.2023;01.04.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1120;Data Structures;0.0;;;;;;;;;;;;;;;;;;
Subtotal, h;;0.0;;;;;;;;;;;;;;;;;;
-;Research;50.75;;;;3.08;12.01;14.48;21.18;;;;;;;;;;;
Subtotal, h;;50.75;;;;3.08;12.01;14.48;21.18;;;;;;;;;;;
Day total, h;;;;;;3.08;12.01;14.48;21.18;;;;;;;;;;;
Hours total;;;;;;;;;;50.75;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #20;;;;14.05.2023;15.05.2023;16.05.2023;17.05.2023;18.05.2023;19.05.2023;20.05.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
-;Research;14.13;;;;;;;14.13;;;;;;;;;;;
Subtotal, h;;14.13;;;;;;;14.13;;;;;;;;;;;
Day total, h;;;;;;;;;14.13;;;;;;;;;;;
Hours total;;;;;;;;;;14.13;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #22;;;;28.05.2023;29.05.2023;30.05.2023;31.05.2023;01.06.2023;02.06.2023;03.06.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
-;SPD 1.3 Group;2.21;;;;;;1.23;0.98;;;;;;;;;;;
Subtotal, h;;2.21;;;;;;1.23;0.98;;;;;;;;;;;
Day total, h;;;;;;;;1.23;0.98;;;;;;;;;;;
Hours total;;;;;;;;;;2.21;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
